Route_ID,Route_Name,Action_Taken,New_Route_ID,Route_KM,Route_Type,OSRM_Duration_S,Cycle_Time_Min,Congestion_Zone,N_Stops_Estimated,Stop_Penalty_Min,Sharp_Turns,Junction_Penalty_Min,Pop_Score,POI_Score,Road_Multiplier,Final_CDI,Social_Flag,Priority_Band,Headway_Min,Fleet_Required,HPV_Count,MPV_Count,CMP_Trunk,CMP_Route_ID,Population_Served,HV_POI_Count,Overlap_Metric,Geo_Source,Map_File
R0212,BUS STAND MAHESHPURA ↔ GHO MANHASAN LAHORI CHAK,RETAINED_AS_FEEDER,FDR-224,13.254,Urban,1132.7,173.3,City_Core,26,39.0,4,2.0,0.601,0.0356,0.75,0.2387,False,LP,60,3,0,3,False,,221,2,0.0629,OSRM,route_maps/FDR-224.html
R0214,BUS STAND ROOP NAGAR ↔ BARI BRAHMANA IND COMPLEX,RETAINED_AS_FEEDER,FDR-072,22.466,Peri_Urban,1575.8,270.7,City_Core,44,66.0,9,4.5,0.8767,0.1398,0.75,0.3812,True,MP,30,10,0,10,False,,458,16,0.19,OSRM,route_maps/FDR-072.html
R0215,CANAL HEAD ↔ GHO MANHASAN,RETAINED_AS_FEEDER,FDR-232,12.452,Urban,1076.5,162.5,City_Core,24,36.0,4,2.0,0.5774,0.0568,0.75,0.2378,False,LP,60,3,0,3,False,,606,4,0.0461,OSRM,route_maps/FDR-232.html
R0216,CHANNI HIMMAT ↔ RAIPUR,RETAINED_AS_FEEDER,FDR-266,12.013,Urban,1013.9,140.5,Peri_Urban,24,36.0,5,2.5,0.5044,0.0719,0.75,0.2161,True,MP,30,5,0,5,False,,221,6,0.0606,OSRM,route_maps/FDR-266.html
R0217,CHANNI HIMMAT ↔ RAIPUR KHERI,RETAINED_AS_FEEDER,FDR-215,16.777,Peri_Urban,1367.3,192.9,Peri_Urban,33,49.5,8,4.0,0.5309,0.1326,0.75,0.2488,True,MP,30,7,0,7,False,,213,13,0.1247,OSRM,route_maps/FDR-215.html
R0218,CHANNI HIMMIT ↔ SWARN VIHAR,RETAINED_AS_FEEDER,FDR-064,14.679,Urban,827.9,159.7,City_Core,29,43.5,3,1.5,0.8721,0.1569,0.75,0.3859,True,MP,30,6,0,6,False,,292,13,0.1608,OSRM,route_maps/FDR-064.html
R0219,GANESHU CHACK ↔ M H HOSPITAL SATWARI CANT,RETAINED_AS_FEEDER,FDR-425,4.144,Urban,452.8,52.4,Peri_Urban,8,12.0,1,0.5,0.2028,0.0,0.75,0.0761,False,LP,60,2,0,2,False,,104,0,0.0321,OSRM,route_maps/FDR-425.html
R0221,HIGH COURT JANIPUR GRID STAION ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-426,3.595,Urban,369.7,56.8,City_Core,7,10.5,6,3.0,0.7901,0.2257,0.75,0.3809,False,MP,30,2,0,2,False,,84,5,0.3024,OSRM,route_maps/FDR-426.html
R0222,HIGH COURT JANIPUR GRID STAION ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-296,26.736,Peri_Urban,1872.3,328.7,City_Core,53,79.5,15,7.5,0.4296,0.0656,0.75,0.1857,True,MP,30,11,0,11,False,,277,10,0.1358,OSRM,route_maps/FDR-296.html
R0225,INDIRA CHOWK ↔ JAGTI MIGRANT CAMP,RETAINED_AS_FEEDER,FDR-319,17.544,Peri_Urban,1230.2,211.2,City_Core,35,52.5,5,2.5,0.3422,0.091,0.75,0.1624,False,LP,60,4,0,4,False,,166,9,0.0604,OSRM,route_maps/FDR-319.html
R0227,JAMMU ↔ NARAYANA MILLAN DI KHUI,RETAINED_AS_FEEDER,FDR-377,21.591,Peri_Urban,1520.6,258.9,City_Core,43,64.5,5,2.5,0.1424,0.023,0.75,0.062,False,LP,60,5,0,5,False,,424,3,0.0214,OSRM,route_maps/FDR-377.html
R0233,JAMMU BUS STAND ↔ MATHWAR,RETAINED_AS_FEEDER,FDR-383,48.369,Regional_District,3397.6,572.6,City_Core,96,144.0,6,3.0,0.1219,0.0244,0.75,0.0549,False,LP,90,7,0,7,False,,510,7,0.0124,OSRM,route_maps/FDR-383.html
