New_Route_ID,Route_Name,Action_Taken,Route_Type,Priority_Band,Headway_Min,Fleet_Required,HPV_Count,MPV_Count,CMP_Trunk,CMP_Route_ID,Population_Served,Social_Flag
FDR-475,SATWARI ↔ HAKKAL PEER BABA,RETAINED_AS_FEEDER,Urban,LP,60,2,0,2,False,,124,False
FDR-188,SATWARI ↔ CHATHA FARM,RETAINED_AS_FEEDER,Urban,MP,30,3,0,3,False,,235,True
FDR-384,SATWARI ↔ BHURA CHAK BANDARA CHAK,RETAINED_AS_FEEDER,Urban,LP,60,2,0,2,False,,146,False
FDR-262,SATWARI ↔ CHANNI THALWAL,RETAINED_AS_FEEDER,Urban,LP,60,4,0,4,False,,370,False
FDR-476,SATWARI ↔ HAKKAL,RETAINED_AS_FEEDER,Urban,LP,60,2,0,2,False,,124,False
FDR-477,SATWARI ↔ BADYAL,RETAINED_AS_FEEDER,Urban,LP,60,2,0,2,False,,193,False
FDR-478,SATWARI ↔ RAIPUR KHANDWAL SUJANPUR,RETAINED_AS_FEEDER,Urban,LP,60,2,0,2,False,,124,False
FDR-374,SATWARI ↔ SAMPURAN PUR PHALAIN MANDAL ROAD,RETAINED_AS_FEEDER,Urban,LP,60,2,0,2,False,,121,False
FDR-231,SATWARI ↔ SHER E KASHMIR UNIVERSITY,RETAINED_AS_FEEDER,Urban,MP,30,6,0,6,False,,379,True
FDR-409,SATWARI ↔ KARWAL,RETAINED_AS_FEEDER,Peri_Urban,LP,60,6,0,6,False,,216,False
FDR-259,SATWARI ↔ HAKKAL,RETAINED_AS_FEEDER,Peri_Urban,MP,30,7,0,7,False,,405,True
FDR-400,SATWARI ↔ MAKWAL,RETAINED_AS_FEEDER,Regional_District,LP,90,7,0,7,False,,207,False
FDR-363,SATWARI ↔ HAKKAL,RETAINED_AS_FEEDER,Urban,LP,60,2,0,2,False,,258,False
FDR-399,SATWARI ↔ KARPALPUR,RETAINED_AS_FEEDER,Urban,LP,60,3,0,3,False,,127,False
