Route_ID,Route_Name,Route_Code,Action_Taken,New_Route_ID,Displaced_Operator_Class,Route_KM,Route_Type,OSRM_Duration_S,Cycle_Time_Min,Congestion_Zone,N_Stops_Estimated,Stop_Penalty_Min,Sharp_Turns,Junction_Penalty_Min,Pop_Score,POI_Score,Road_Multiplier,Final_CDI,Social_Flag,Priority_Band,Headway_Min,Fleet_Required,HPV_Count,MPV_Count,LPV_Count,CMP_Trunk,CMP_Route_ID,Population_Served,Population_Served_Raw,Corridor_Competitors,HV_POI_Count,Overlap_Metric,Geo_Source,Tourist_Corridor,Seasonal_Operability,District_HQ_Floor,SSCL_CDI_Conflict,SSCL_CDI_Conflict_Strong,SSCL_CDI_Conflict_Weak_SSCL,Daily_Trips,Daily_KM,Daily_Capacity_Pax,Daily_Demand_Pax,Load_Ratio,Load_Flag,Pax_Journey_Time_Min,Journey_Time_Flag,Daily_Revenue_INR,Daily_Op_Cost_INR,Viability_Ratio,Subsidy_Risk_Flag,Emissions_GCO2_Daily,Equity_Score,Map_File
R0011,Soura to Gadoora,SRGB10055803,RETAINED_AS_FEEDER,FDR-002,,17.862,Peri_Urban,1327.1,89.3,City_Core,35,17.5,8,4.0,0.2781,0.1654,0.75,0.2218,False,LP,35,4,0,4,0,False,,21707,68267,108,42,0.0187,OSRM,False,Year_Round,False,False,False,False,54.9,979.9,1505.0,1054.0,0.701,Green,67.6,True,10544.0,63691.0,0.166,True,930865.0,0.212,route_maps_kashmir/FDR-002.html
R0012,Soura to Ganderbal,SRGB10055804,RETAINED_AS_FEEDER,FDR-476,,9.86,Urban,959.3,78.9,City_Core,19,9.5,6,3.0,0.2351,0.1407,0.75,0.1879,False,LP,35,4,0,0,4,False,,10891,34248,108,20,0.0215,OSRM,False,Year_Round,False,False,False,False,54.9,540.9,973.0,575.0,0.591,Green,62.4,True,5751.0,35158.0,0.164,True,513847.0,0.106,route_maps_kashmir/FDR-476.html
R0013,Soura to Ganderbal,SRGB10055804,MERGED_INTO_TRUNK,FDR-476,LPV / Tempo,9.86,Urban,959.3,78.9,City_Core,19,9.5,6,3.0,0.2351,0.1407,1.25,0.1879,False,LP,35,0,0,0,0,False,,0,34248,108,20,0.0215,OSRM,False,Year_Round,False,False,False,False,54.9,540.9,0.0,575.0,0.0,Red_NoCapacity,62.4,True,5751.0,35158.0,0.164,True,513847.0,0.106,route_maps_kashmir/FDR-476.html
R0014,Lalbazar to Lalchowk,SRSR10103462,RETAINED_AS_FEEDER,FDR-076,,8.433,Urban,617.5,67.5,City_Core,16,8.0,11,5.5,1.0,0.5182,0.75,0.7591,True,HP,20,5,0,5,0,False,,6066,83040,470,56,0.128,OSRM,False,Year_Round,False,False,False,False,96.0,809.6,2489.0,94.0,0.038,Amber_Under,49.2,True,942.0,52622.0,0.018,False,769090.0,0.089,route_maps_kashmir/FDR-076.html
R0015,Jehangir Chowk to Soura,SRSR10102558,RETAINED_AS_FEEDER,FDR-117,,10.004,Urban,739.8,80.0,City_Core,20,10.0,11,5.5,0.7208,0.5344,0.75,0.6276,True,HP,20,5,0,5,0,False,,6223,74105,409,69,0.0806,OSRM,False,Year_Round,False,False,False,False,96.0,960.4,2100.0,153.0,0.073,Amber_Under,55.5,True,1534.0,62425.0,0.025,False,912365.0,0.091,route_maps_kashmir/FDR-117.html
R0016,Soura to LD,SRSR10105860,MERGED_INTO_TRUNK,FDR-054,LPV / Tempo,10.817,Urban,798.2,86.5,City_Core,21,10.5,11,5.5,0.7865,0.4422,1.25,0.6143,True,HP,20,0,0,0,0,False,,0,85889,243,69,0.1055,OSRM,False,Year_Round,False,False,False,False,96.0,1038.4,0.0,229.0,0.0,Red_NoCapacity,58.8,True,2286.0,67498.0,0.034,False,986510.0,0.178,route_maps_kashmir/FDR-054.html
R0017,Soura to LD,SRSR10105860,MERGED_INTO_TRUNK,FDR-054,Private Minibus,10.099,Urban,682.4,80.8,City_Core,20,10.0,8,4.0,0.9722,0.5977,1.25,0.785,True,HP,20,0,0,0,0,False,,0,95384,292,75,0.1252,OSRM,False,Year_Round,False,False,False,False,96.0,969.5,0.0,178.0,0.0,Red_NoCapacity,55.9,True,1780.0,63018.0,0.028,False,921029.0,0.164,route_maps_kashmir/FDR-054.html
R0018,Soura to Hazratbal,SRSR10105818,UPGRADED_TO_TRUNK,TRK-031,,8.337,Urban,1248.4,66.7,City_Core,16,8.0,6,3.0,0.6895,0.4061,1.25,0.5478,False,MP,35,3,0,3,0,False,,12568,59647,163,41,0.0349,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,54.9,457.3,1511.0,409.0,0.271,Amber_Under,56.4,True,4088.0,29727.0,0.138,True,434477.0,0.123,route_maps_kashmir/TRK-031.html
R0019,TRC to Hazratbal,SRSR10105218,RETAINED_AS_FEEDER,FDR-156,,8.127,Urban,579.9,65.0,City_Core,16,8.0,4,2.0,0.7098,0.3942,0.75,0.552,False,MP,35,3,0,0,3,False,,5991,59483,341,34,0.082,OSRM,False,Year_Round,False,False,False,False,54.9,445.8,886.0,83.0,0.094,Amber_Under,55.5,True,829.0,28979.0,0.029,True,423533.0,0.059,route_maps_kashmir/FDR-156.html
R0020,Hazratbal to LD,SRSR10101860,RETAINED_AS_FEEDER,FDR-142,,9.286,Urban,1246.0,74.3,City_Core,18,9.0,7,3.5,0.7648,0.4215,0.75,0.5932,True,MP,35,4,0,4,0,False,,10317,72103,240,39,0.0883,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,54.9,509.4,1809.0,133.0,0.073,Amber_Under,60.2,True,1327.0,33111.0,0.04,False,483933.0,0.151,route_maps_kashmir/FDR-142.html
R0021,Soura to Railway Station,SRAN10015813,RETAINED_AS_FEEDER,FDR-257,,18.799,Peri_Urban,1610.0,94.0,City_Core,37,18.5,8,4.0,0.5755,0.3947,0.75,0.4851,False,MP,35,4,0,4,0,False,,10960,117138,367,91,0.1419,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,54.9,1031.3,1430.0,70.0,0.049,Amber_Under,70.0,True,702.0,67032.0,0.01,True,979696.0,0.107,route_maps_kashmir/FDR-257.html
R0022,Soura to LD,SRSR10105860,MERGED_INTO_TRUNK,FDR-054,Private Minibus,11.052,Urban,725.1,88.4,City_Core,22,11.0,8,4.0,0.9637,0.6122,1.25,0.7879,True,HP,20,0,0,0,0,False,,0,103616,542,85,0.1553,OSRM,False,Year_Round,False,False,False,False,96.0,1061.0,0.0,84.0,0.0,Red_NoCapacity,59.7,True,840.0,68964.0,0.012,False,1007942.0,0.096,route_maps_kashmir/FDR-054.html
R0023,Malbagh to LD,SRSR10106360,RETAINED_AS_FEEDER,FDR-096,,11.428,Urban,1281.3,91.4,City_Core,22,11.0,17,8.5,0.9144,0.45,0.75,0.6822,True,HP,20,6,0,6,0,False,,14496,102579,243,71,0.0855,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,96.0,1097.1,2206.0,337.0,0.153,Amber_Under,61.2,True,3369.0,71311.0,0.047,False,1042234.0,0.212,route_maps_kashmir/FDR-096.html
R0024,Jehangir Chowk to JVC,SRSR10102559,RETAINED_AS_FEEDER,FDR-260,,7.723,Urban,676.3,61.8,City_Core,15,7.5,14,7.0,0.7209,0.2349,0.75,0.4779,False,MP,35,3,0,0,3,False,,5066,57220,388,20,0.1346,OSRM,False,Year_Round,False,False,False,False,54.9,423.7,932.0,43.0,0.046,Amber_Under,53.9,True,427.0,27538.0,0.016,True,402479.0,0.049,route_maps_kashmir/FDR-260.html
R0025,Jehangir Chowk to JVC,SRSR10102559,MERGED_INTO_TRUNK,FDR-260,LPV / Tempo,8.334,Urban,646.4,66.7,City_Core,16,8.0,15,7.5,0.678,0.3067,1.25,0.4924,False,MP,35,0,0,0,0,False,,0,58845,361,27,0.1862,OSRM,False,Year_Round,False,False,False,False,54.9,457.2,0.0,34.0,0.0,Red_NoCapacity,56.4,True,341.0,29717.0,0.011,True,434320.0,0.055,route_maps_kashmir/FDR-260.html
R0026,Soura to Parimpora,SRBG10025821,RETAINED_AS_FEEDER,FDR-180,,12.314,Urban,938.7,98.5,City_Core,24,12.0,18,9.0,0.7354,0.3235,0.75,0.5294,False,MP,35,4,0,0,4,False,,9853,92683,323,60,0.1424,OSRM,False,Year_Round,False,False,False,False,54.9,675.5,780.0,79.0,0.101,Amber_Under,72.2,True,786.0,43908.0,0.018,True,641735.0,0.096,route_maps_kashmir/FDR-180.html
