Route_ID,Route_Name,Action_Taken,New_Route_ID,Displaced_Operator_Class,Route_KM,Route_Type,Congestion_Zone,Pop_Score,POI_Score,Road_Multiplier,Final_CDI,Social_Flag,Priority_Band,Headway_Min,Fleet_Required,HPV_Count,MPV_Count,CMP_Trunk,CMP_Route_ID,Overlap_Metric,Population_Served,HV_POI_Count,Sharp_Turns,Junction_Penalty_Min,N_Stops_Estimated,Stop_Penalty_Min,OSRM_Duration_S,Cycle_Time_Min,Geo_Source,Reasoning_String
R0224,BATAMALLO ↔ PANTHACHOWK,RETAINED_AS_FEEDER,FDR-252,,17.436,Peri_Urban,Peri_Urban,0.5156,0.1102,0.75,0.3129,False,MP,35,4,0,0,False,,0.1231,5033,29,7,3.5,34,17.0,1539.8,87.2,OSRM+JhelumBridge,"Route R0224 (BATAMALLO ↔ PANTHACHOWK) → Feeder FDR-252. Route_Type=Peri_Urban | Zone=Peri_Urban | CDI=0.3129 | Band=MP | Headway=35 min | Fleet=4 (HPV=0 enforced, MPV=0 — 100%% MPV). Distinct catchment: 5.59% of CMP 2024 pop. residents over 17.4 km. "
R0225,PARIMPORA ↔ BUDGAM,MERGED_INTO_TRUNK,FDR-329,Private Minibus,15.179,Peri_Urban,City_Core,0.0,0.0,1.25,0.0,False,LP,35,0,0,0,False,,0.069,1363,0,3,1.5,30,15.0,1439.3,75.9,OSRM,Route R0225 (PARIMPORA ↔ BUDGAM) merged into Trunk FDR-329. Spatial overlap with trunk corridor. CDI=0.0000. Fleet=0 (counted under Trunk). 
R0226,PARIMPORA ↔ BUDGAM,MERGED_INTO_TRUNK,FDR-329,Private Minibus,15.179,Peri_Urban,City_Core,0.0,0.0,1.25,0.0,False,LP,35,0,0,0,False,,0.069,1363,0,3,1.5,30,15.0,1439.3,75.9,OSRM,Route R0226 (PARIMPORA ↔ BUDGAM) merged into Trunk FDR-329. Spatial overlap with trunk corridor. CDI=0.0000. Fleet=0 (counted under Trunk). 
R0227,PARIMPORA ↔ PANTHACHOWK,MERGED_INTO_TRUNK,FDR-198,LPV / Tempo,26.746,Peri_Urban,City_Core,0.4886,0.2229,1.25,0.3558,False,MP,35,0,0,0,False,,0.227,3358,70,3,1.5,53,26.5,2193.5,133.7,OSRM+JhelumBridge,Route R0227 (PARIMPORA ↔ PANTHACHOWK) merged into Trunk FDR-198. Spatial overlap with trunk corridor. CDI=0.3558. Fleet=0 (counted under Trunk). 
R0228,PARIMPORA ↔ PANTHACHOWK,MERGED_INTO_TRUNK,FDR-200,Private Minibus,26.746,Peri_Urban,City_Core,0.4886,0.2229,1.25,0.3558,False,MP,35,0,0,0,False,,0.227,3358,70,3,1.5,53,26.5,2193.5,133.7,OSRM+JhelumBridge,Route R0228 (PARIMPORA ↔ PANTHACHOWK) merged into Trunk FDR-200. Spatial overlap with trunk corridor. CDI=0.3558. Fleet=0 (counted under Trunk). 
R0229,HAZRATBAL ↔ LD,MERGED_INTO_TRUNK,FDR-001,Private Minibus,11.457,Urban,City_Core,0.7727,0.4337,1.25,0.6032,False,HP,20,0,0,0,False,,0.2023,2764,56,9,4.5,22,11.0,1420.1,91.7,OSRM+JhelumBridge,Route R0229 (HAZRATBAL ↔ LD) merged into Trunk FDR-001. Spatial overlap with trunk corridor. CDI=0.6032. Fleet=0 (counted under Trunk). 
R0230,RANGPORA ↔ LALCHOWK,RETAINED_AS_FEEDER,FDR-087,,13.983,Urban,City_Core,0.9243,0.5377,0.75,0.731,False,HP,20,7,0,0,False,,0.151,3784,96,12,6.0,27,13.5,853.2,111.7,OSRM,"Route R0230 (RANGPORA ↔ LALCHOWK) → Feeder FDR-087. Route_Type=Urban | Zone=City_Core | CDI=0.7310 | Band=HP | Headway=20 min | Fleet=7 (HPV=0 enforced, MPV=0 — 100%% MPV). Distinct catchment: 7.16% of CMP 2024 pop. residents over 14.0 km. "
R0231,BATAMALLO ↔ PANTHACHOWK,MERGED_INTO_TRUNK,FDR-252,LPV / Tempo,17.436,Peri_Urban,Peri_Urban,0.5156,0.1102,1.25,0.3129,False,MP,35,0,0,0,False,,0.1231,5033,29,7,3.5,34,17.0,1539.8,87.2,OSRM+JhelumBridge,Route R0231 (BATAMALLO ↔ PANTHACHOWK) merged into Trunk FDR-252. Spatial overlap with trunk corridor. CDI=0.3129. Fleet=0 (counted under Trunk). 
R0232,RANGPORA ↔ LALCHOWK,MERGED_INTO_TRUNK,FDR-087,LPV / Tempo,13.983,Urban,City_Core,0.9243,0.5377,1.25,0.731,False,HP,20,0,0,0,False,,0.151,3784,96,12,6.0,27,13.5,853.2,111.7,OSRM,Route R0232 (RANGPORA ↔ LALCHOWK) merged into Trunk FDR-087. Spatial overlap with trunk corridor. CDI=0.7310. Fleet=0 (counted under Trunk). 
R0233,RANGPORA ↔ LALCHOWK,RETAINED_AS_FEEDER,FDR-089,,13.983,Urban,City_Core,0.9243,0.5377,0.75,0.731,False,HP,20,7,0,7,False,,0.151,3784,96,12,6.0,27,13.5,853.2,111.7,OSRM,"Route R0233 (RANGPORA ↔ LALCHOWK) → Feeder FDR-089. Route_Type=Urban | Zone=City_Core | CDI=0.7310 | Band=HP | Headway=20 min | Fleet=7 (HPV=0 enforced, MPV=7 — 100%% MPV). Distinct catchment: 7.16% of CMP 2024 pop. residents over 14.0 km. "
