Route_Code,Route_ID,Route_Name,Action_Taken,New_Route_ID,Displaced_Operator_Class,Route_KM,Route_Type,OSRM_Duration_S,Cycle_Time_Min,Congestion_Zone,N_Stops_Estimated,Stop_Penalty_Min,Sharp_Turns,Junction_Penalty_Min,Pop_Score,POI_Score,Road_Multiplier,Final_CDI,Social_Flag,Priority_Band,Headway_Min,Fleet_Required,HPV_Count,MPV_Count,LPV_Count,CMP_Trunk,CMP_Route_ID,Population_Served,Population_Served_Raw,Corridor_Competitors,HV_POI_Count,Overlap_Metric,Geo_Source,Tourist_Corridor,Seasonal_Operability,District_HQ_Floor,SSCL_CDI_Conflict,SSCL_CDI_Conflict_Strong,SSCL_CDI_Conflict_Weak_SSCL,Daily_Trips,Daily_KM,Daily_Capacity_Pax,Daily_Demand_Pax,Load_Ratio,Load_Flag,Pax_Journey_Time_Min,Journey_Time_Flag,Daily_Revenue_INR,Daily_Op_Cost_INR,Viability_Ratio,Subsidy_Risk_Flag,Emissions_GCO2_Daily,Equity_Score,Map_File
SRSR10103462-01,R0012,Lalbazar to Lalchowk,RETAINED_AS_FEEDER,FDR-090,,8.433,Urban,617.5,67.5,City_Core,16,8.0,11,5.5,1.0,0.4545,0.75,0.7272,True,HP,20,5,0,5,0,False,,7514,83040,269,56,0.1324,OSRM,False,Year_Round,False,True,True,False,96.0,809.6,2489.0,151.0,0.061,Amber_Under,49.2,True,1513.0,52622.0,0.029,False,769090.0,0.146,route_maps_kashmir/FDR-090.html
SRSR10105860-02,R0013,Soura to LD,RETAINED_AS_FEEDER,FDR-114,,10.817,Urban,798.2,86.5,City_Core,21,10.5,11,5.5,0.7852,0.3878,0.75,0.5865,True,HP,20,6,0,0,6,False,,9863,85889,212,69,0.131,OSRM,False,Year_Round,False,False,False,False,96.0,1038.4,1332.0,201.0,0.151,Amber_Under,58.8,True,2007.0,67498.0,0.03,False,986510.0,0.192,route_maps_kashmir/FDR-114.html
SRSR10105860-03,R0014,Soura to LD,MERGED_INTO_TRUNK,FDR-070,Private Minibus,10.099,Urban,682.4,80.8,City_Core,20,10.0,8,4.0,0.9721,0.5242,1.25,0.7482,True,HP,20,0,0,0,0,False,,0,95384,256,75,0.1554,OSRM,False,Year_Round,False,False,False,False,96.0,969.5,0.0,156.0,0.0,Red_NoCapacity,55.9,True,1556.0,63018.0,0.025,False,921029.0,0.177,route_maps_kashmir/FDR-070.html
SRSR10105818-01,R0015,Soura to Hazratbal,UPGRADED_TO_TRUNK,TRK-040,,8.337,Urban,1248.4,66.7,City_Core,16,8.0,6,3.0,0.6876,0.3562,1.25,0.5219,False,MP,35,3,0,3,0,False,,10836,59647,134,41,0.0454,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,54.9,457.3,1511.0,364.0,0.241,Amber_Under,56.4,True,3636.0,29727.0,0.122,True,434477.0,0.141,route_maps_kashmir/TRK-040.html
SRSR10105218-01,R0016,TRC to Hazratbal,RETAINED_AS_FEEDER,FDR-133,,8.127,Urban,579.9,65.0,City_Core,16,8.0,4,2.0,0.7081,0.3458,0.75,0.527,False,MP,35,3,0,0,3,False,,5985,59483,242,34,0.1061,OSRM,False,Year_Round,False,False,False,False,54.9,445.8,886.0,86.0,0.097,Amber_Under,55.5,True,859.0,28979.0,0.03,True,423533.0,0.078,route_maps_kashmir/FDR-133.html
SRSR10101860-01,R0017,Hazratbal to LD,RETAINED_AS_FEEDER,FDR-123,,9.286,Urban,1246.0,74.3,City_Core,18,9.0,7,3.5,0.7634,0.3697,0.75,0.5666,True,MP,35,4,0,4,0,False,,7800,72103,225,39,0.1255,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,54.9,509.4,1809.0,95.0,0.052,Amber_Under,60.2,True,947.0,33111.0,0.029,False,483933.0,0.152,route_maps_kashmir/FDR-123.html
SRAN10015813-01,R0018,Soura to Railway Station,RETAINED_AS_FEEDER,FDR-179,,18.799,Peri_Urban,1610.0,94.0,City_Core,37,18.5,8,4.0,0.573,0.3462,0.75,0.4596,False,MP,35,4,0,4,0,False,,9505,117138,300,91,0.1583,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,54.9,1031.3,1430.0,73.0,0.051,Amber_Under,70.0,True,732.0,67032.0,0.011,True,979696.0,0.124,route_maps_kashmir/FDR-179.html
SRSR10105860-04,R0019,Soura to LD,MERGED_INTO_TRUNK,FDR-070,Private Minibus,11.052,Urban,725.1,88.4,City_Core,22,11.0,8,4.0,0.9634,0.5369,1.25,0.7502,True,HP,20,0,0,0,0,False,,0,103616,317,85,0.149,OSRM,False,Year_Round,False,False,False,False,96.0,1061.0,0.0,142.0,0.0,Red_NoCapacity,59.7,True,1424.0,68964.0,0.021,False,1007942.0,0.155,route_maps_kashmir/FDR-070.html
SRSR10106360-01,R0020,Malbagh to LD,RETAINED_AS_FEEDER,FDR-104,,9.178,Urban,1169.0,73.4,City_Core,18,9.0,8,4.0,0.9916,0.332,0.75,0.6618,True,HP,20,5,0,5,0,False,,10674,88125,201,49,0.0976,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,96.0,881.1,2289.0,292.0,0.127,Amber_Under,52.2,True,2915.0,57271.0,0.051,False,837034.0,0.208,route_maps_kashmir/FDR-104.html
SRBG10025821-01,R0021,Soura to Parimpora,MERGED_INTO_TRUNK,TRK-039,LPV / Tempo,11.326,Urban,779.0,90.6,City_Core,22,11.0,14,7.0,0.6429,0.2425,1.25,0.4427,False,MP,35,0,0,0,0,False,,0,76952,228,50,0.1099,OSRM,False,Year_Round,False,False,False,False,54.9,621.3,0.0,114.0,0.0,Red_NoCapacity,68.3,True,1139.0,40385.0,0.028,True,590246.0,0.107,route_maps_kashmir/TRK-039.html
